Genesis,1,31
Genesis,2,25
Genesis,3,24
Genesis,4,26
Genesis,5,32
Genesis,6,22
Genesis,7,24
Genesis,8,22
Genesis,9,29
Genesis,10,32
Genesis,11,32
Genesis,12,20
Genesis,13,18
Genesis,14,24
Genesis,15,21
Genesis,16,16
Genesis,17,27
Genesis,18,33
Genesis,19,38
Genesis,20,18
Genesis,21,34
Genesis,22,24
Genesis,23,20
Genesis,24,67
Genesis,25,34
Genesis,26,35
Genesis,27,46
Genesis,28,22
Genesis,29,35
Genesis,30,43
Genesis,31,55
Genesis,32,32
Genesis,33,20
Genesis,34,31
Genesis,35,29
Genesis,36,43
Genesis,37,36
Genesis,38,30
Genesis,39,23
Genesis,40,23
Genesis,41,57
Genesis,42,38
Genesis,43,34
Genesis,44,34
Genesis,45,28
Genesis,46,34
Genesis,47,31
Genesis,48,22
Genesis,49,33
Genesis,50,26
Exodo,1,22
Exodo,2,25
Exodo,3,22
Exodo,4,31
Exodo,5,23
Exodo,6,30
Exodo,7,25
Exodo,8,32
Exodo,9,35
Exodo,10,29
Exodo,11,10
Exodo,12,51
Exodo,13,22
Exodo,14,31
Exodo,15,27
Exodo,16,36
Exodo,17,16
Exodo,18,27
Exodo,19,25
Exodo,20,26
Exodo,21,36
Exodo,22,31
Exodo,23,33
Exodo,24,18
Exodo,25,40
Exodo,26,37
Exodo,27,21
Exodo,28,43
Exodo,29,46
Exodo,30,38
Exodo,31,18
Exodo,32,35
Exodo,33,23
Exodo,34,35
Exodo,35,35
Exodo,36,38
Exodo,37,29
Exodo,38,31
Exodo,39,43
Exodo,40,38
Levitico,1,17
Levitico,2,16
Levitico,3,17
Levitico,4,35
Levitico,5,19
Levitico,6,30
Levitico,7,38
Levitico,8,36
Levitico,9,24
Levitico,10,20
Levitico,11,47
Levitico,12,8
Levitico,13,59
Levitico,14,57
Levitico,15,33
Levitico,16,34
Levitico,17,16
Levitico,18,30
Levitico,19,37
Levitico,20,27
Levitico,21,24
Levitico,22,33
Levitico,23,44
Levitico,24,23
Levitico,25,55
Levitico,26,46
Levitico,27,34
Numeros,1,54
Numeros,2,34
Numeros,3,51
Numeros,4,49
Numeros,5,31
Numeros,6,27
Numeros,7,89
Numeros,8,26
Numeros,9,23
Numeros,10,36
Numeros,11,35
Numeros,12,16
Numeros,13,33
Numeros,14,45
Numeros,15,41
Numeros,16,50
Numeros,17,13
Numeros,18,32
Numeros,19,22
Numeros,20,29
Numeros,21,35
Numeros,22,41
Numeros,23,30
Numeros,24,25
Numeros,25,18
Numeros,26,65
Numeros,27,23
Numeros,28,31
Numeros,29,40
Numeros,30,16
Numeros,31,54
Numeros,32,42
Numeros,33,56
Numeros,34,29
Numeros,35,34
Numeros,36,13
Deuteronomio,1,46
Deuteronomio,2,37
Deuteronomio,3,29
Deuteronomio,4,49
Deuteronomio,5,33
Deuteronomio,6,25
Deuteronomio,7,26
Deuteronomio,8,20
Deuteronomio,9,29
Deuteronomio,10,22
Deuteronomio,11,32
Deuteronomio,12,32
Deuteronomio,13,18
Deuteronomio,14,29
Deuteronomio,15,23
Deuteronomio,16,22
Deuteronomio,17,20
Deuteronomio,18,22
Deuteronomio,19,21
Deuteronomio,20,20
Deuteronomio,21,23
Deuteronomio,22,30
Deuteronomio,23,25
Deuteronomio,24,22
Deuteronomio,25,19
Deuteronomio,26,19
Deuteronomio,27,26
Deuteronomio,28,68
Deuteronomio,29,29
Deuteronomio,30,20
Deuteronomio,31,30
Deuteronomio,32,52
Deuteronomio,33,29
Deuteronomio,34,12
Josue,1,18
Josue,2,24
Josue,3,17
Josue,4,24
Josue,5,15
Josue,6,27
Josue,7,26
Josue,8,35
Josue,9,27
Josue,10,43
Josue,11,23
